move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
004264330042003345543614135616,-1.000,0.905,0.905,-1.000,-1.000,-0.905,-0.905,1
002350411046012501522255644426,-1.000,0.762,-1.000,0.905,0.762,0.762,0.762,3
005466042665120643501216411434,0.000,-0.462,0.000,0.000,-1.000,0.905,-1.000,5
005646532551566651342633113223,0.762,0.762,0.762,-1.000,0.905,-1.000,-1.000,4
001200463261456611403016344362,-1.000,-0.905,0.905,-0.905,-0.905,0.905,-1.000,2
001546100166526115363502560354,-1.000,-0.905,-0.905,-0.905,-0.905,-1.000,-1.000,1
006664400204121021622162144541,-1.000,-1.000,-1.000,0.762,-1.000,-0.905,0.905,6
000320261155143143516632066303,-1.000,0.000,0.000,-1.000,0.000,0.000,0.000,1
005530265552642540022460311426,-1.000,-0.905,-1.000,-0.905,-0.905,-1.000,-0.905,1
004443000410351644335351355566,-1.000,-0.905,-0.905,-1.000,-1.000,-1.000,-0.635,6
001360023313152233504450412456,-1.000,-0.905,0.762,-1.000,-0.905,0.905,-0.905,5
003330652621122605662023344406,-1.000,0.905,-1.000,0.762,0.762,0.905,-1.000,1
000046564022410215116441425155,-1.000,-1.000,0.762,0.905,-1.000,-0.905,-0.905,3
005552202525650301403312236131,-1.000,-0.905,-1.000,-0.462,0.905,-1.000,-0.905,4
005460351200643131461212241353,0.905,-1.000,-0.905,-0.905,0.245,-0.905,-0.905,0
005264251561442052655046234142,0.635,-0.905,-1.000,-0.905,-1.000,-1.000,-0.905,0
005465546231314005666353401014,-1.000,0.762,0.905,0.905,0.762,0.762,0.762,2
00206105110016616323546451424,-1.000,-1.000,-0.905,0.941,-0.905,-0.905,-0.905,3
00531015624445551606302560214,-1.000,-0.905,-0.905,-0.905,-0.905,-1.000,-0.905,1
00230153222260046162015645556,-1.000,0.941,-1.000,0.848,-0.905,-0.905,-0.905,1
00046166546026010461353242125,-1.000,0.848,0.941,0.941,0.848,0.848,-1.000,2
00233055216061426506056641331,-1.000,-0.905,0.848,-0.905,-0.905,0.941,-1.000,5
00432406565114124120256164514,-0.848,-1.000,-0.848,-0.905,-1.000,-0.848,-0.848,0
00522025444016411165025255616,-0.905,-0.905,-0.905,-0.905,-0.905,-1.000,-0.462,6
00354640536011663416640213112,0.462,-1.000,-0.905,0.635,0.848,0.848,-1.000,4
00226365015411315604252463436,-0.905,-0.905,-0.905,0.762,-0.905,-0.905,-0.905,3
00032445353120512462003545522,-1.000,-0.905,-1.000,-0.905,-0.905,-1.000,-0.905,1
00106331104203236505235531226,-1.000,-0.905,-0.905,-1.000,-0.905,-0.905,0.848,6
00462205432615202431066660453,-1.000,0.941,-0.905,0.941,-0.905,0.941,-1.000,1
00003632065251014515666133611,-1.000,-1.000,0.462,-0.905,-0.905,-0.905,-1.000,2
00311555250123144660441420563,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,0
00032161401022052534135632653,-1.000,-0.245,-0.245,-0.245,-0.905,0.000,0.000,5
00022660166100234165346341553,-1.000,0.941,0.941,-0.905,-0.905,0.848,-1.000,1
00126330356256226660440203133,-1.000,0.941,0.848,-1.000,0.848,0.848,-1.000,1
00004262254622246106114460356,-1.000,-0.635,-1.000,-0.462,-0.762,-0.635,-1.000,3
00013426225333565002331162151,-0.762,-0.462,0.941,-1.000,-0.905,-0.762,-0.462,2
00643243403161341643100045311,-1.000,-1.000,0.941,-1.000,-1.000,-0.762,-0.905,2
00412340101161140642025655526,-1.000,-1.000,0.941,0.848,0.848,0.848,0.848,2
00244535035044032162114536431,0.000,0.000,0.941,0.000,-1.000,0.000,-0.905,2
00250333631430444044630622611,-1.000,-0.905,-0.905,-1.000,-1.000,-0.905,-0.905,1
00620320416254016633346634521,0.848,0.848,0.848,0.848,0.941,0.941,-1.000,4
00315655555112021644324006104,-1.000,0.848,0.941,-0.905,-0.905,-1.000,0.941,2
00402116535006666034564111142,-1.000,-1.000,-0.905,-0.905,-0.905,-0.905,-1.000,2
00002363345644041140543166162,-1.000,0.462,-0.905,0.848,-1.000,0.848,-0.462,3
00013316530032412631443501665,-1.000,0.941,0.941,-1.000,-0.905,0.941,-0.905,1
00100224522344453053034322345,-1.000,0.848,-1.000,-1.000,-1.000,-0.905,0.941,6
00204402621211042256601114466,-1.000,-1.000,-1.000,0.848,-0.905,-0.905,-0.905,3
00362134610522544002163026126,-1.000,-0.905,-1.000,-0.848,-0.905,-0.905,-0.905,3
00000526545105464216646215644,-1.000,-0.905,-0.905,0.941,-1.000,-0.905,-1.000,3
00044152652454416616141065006,-1.000,0.848,-0.905,0.941,-1.000,-0.905,-1.000,3
00310650004363335654141315645,-1.000,-0.905,0.941,-1.000,0.941,-0.905,0.941,2
00363155610540305442235412465,-0.245,-0.245,-0.245,-0.245,-0.245,-1.000,-0.905,0
00061521465110622164165505620,-1.000,-1.000,-0.905,0.941,-0.905,-0.905,-1.000,3
00102443326215024365042665640,-1.000,0.941,-0.905,-0.905,-0.905,0.941,-0.905,1
00215251051026045110342156566,-1.000,-1.000,-0.848,0.941,0.848,-1.000,-0.848,3
00454346236651642120106116415,0.941,-1.000,-0.905,-0.905,-0.905,-0.905,-1.000,0
00125640355521053543313124221,0.000,0.000,0.000,0.941,0.000,-1.000,0.000,3
00441415510142621550055446601,-1.000,-1.000,0.848,0.941,-1.000,-1.000,0.462,3
00260450316434513553160543531,-0.462,-0.462,-0.905,-1.000,0.762,-1.000,-0.462,4
00452103531600121665225621124,-0.905,-1.000,-1.000,-0.905,-0.905,-0.905,-0.905,0
00066635656612232553134100011,-1.000,0.848,0.848,0.941,0.848,0.848,-1.000,3
00156225313215550016165243012,0.848,-1.000,0.848,-0.905,0.941,-1.000,0.848,4
00212643533022203505414205644,-1.000,0.848,-1.000,0.941,-0.905,0.941,-0.905,3
00415156061160440233402514525,-1.000,-0.905,-0.905,0.941,-0.905,-0.905,-0.905,3
0035456114236621561151622362,-0.941,-1.000,-0.941,-0.941,-0.941,-0.941,-1.000,0
0014445501052162511623642546,-0.941,-0.941,-0.941,-0.941,-0.941,-0.941,-0.941,0
0046436416333645441002003113,-1.000,0.848,0.941,-1.000,-1.000,0.941,0.848,2
0016330540453005621112121466,-1.000,-1.000,0.941,-0.941,-0.941,-0.941,-0.941,2
0034140210516010636441313433,-1.000,-1.000,0.941,-1.000,0.848,0.848,0.941,2
0055106326633444065456303461,-0.941,-0.941,-0.941,0.941,-0.941,-0.941,-1.000,3
0034563036411440514555214332,-0.462,-0.941,-0.941,-0.941,-1.000,-0.941,-0.941,0
0050133215111435635014066345,-0.941,-1.000,-0.941,-0.941,-0.941,-0.941,-0.941,0
0046240502404254602315556465,-1.000,0.848,0.848,0.941,-1.000,-1.000,0.941,3
0051504465160155461302425230,-1.000,-0.941,-0.941,-0.941,-0.941,-1.000,-0.941,1
0064042136422030245241243303,-1.000,0.941,-1.000,-0.905,-1.000,-0.941,-0.905,1
0051432612143132231160503325,0.941,-1.000,-0.941,-1.000,-0.941,-0.941,-0.941,0
0005424543012055213223605266,-1.000,0.848,-1.000,0.848,0.941,0.000,0.000,4
0065016361252152124442112550,0.462,-1.000,-1.000,-0.941,0.462,0.462,0.941,6
0026215304322105162456616541,0.245,0.000,0.000,0.000,0.000,0.245,0.000,0
0021662542204440455252130066,-1.000,0.848,-1.000,0.941,0.848,0.848,0.848,3
0044634610643163135123511004,-0.941,-1.000,-0.941,-0.941,-0.941,-0.941,-0.941,0
0040420512056320246412143141,-1.000,-0.848,-0.848,-0.941,-1.000,-0.462,-0.462,5
0032253314331601543644511561,0.000,-1.000,0.941,-1.000,0.000,0.000,0.000,2
0022066606012234124011644154,-1.000,0.462,0.462,-0.941,0.462,0.848,0.462,5
0053346424451032425105514626,0.245,0.000,0.462,0.848,-1.000,0.000,0.000,3
0061062550144351141001366345,-1.000,-1.000,0.941,-0.941,-0.941,-0.941,-0.941,2
0046224344246140363622316502,0.848,0.941,-1.000,0.941,-1.000,0.941,0.848,1
0013604144136331530651404130,-1.000,-1.000,-0.941,-1.000,-0.941,-0.905,-0.941,5
0001326550404516333151510356,-1.000,-0.941,0.941,-0.941,0.941,-1.000,-0.941,2
0053326246620063352444201602,-1.000,-0.941,-1.000,-0.762,-0.762,-0.762,-0.762,3
0000010456523514316441252254,-1.000,0.848,0.848,0.941,0.848,0.848,0.848,3
0050620134652041611604652264,-1.000,-0.905,-0.905,-0.848,-0.905,-0.762,-1.000,5
0044223003300521241323441436,-1.000,-0.941,0.941,-1.000,-1.000,0.000,-0.941,2
0055042413265661156224443052,0.762,0.848,0.848,0.941,0.848,0.762,0.848,3
0002223646034150650161153555,-1.000,-0.941,0.941,-0.941,0.848,-1.000,-0.941,2
0041164061655446462541135106,0.462,-1.000,0.762,0.941,-1.000,0.762,-1.000,3
0040555304663316212531041633,-0.941,-0.941,0.941,-1.000,-0.941,-0.941,-0.941,2
0062150552655134206211150122,-0.941,-1.000,-1.000,0.848,-0.941,-1.000,0.941,6
0005460120545215421456540226,-1.000,-0.941,-0.941,-0.941,-0.941,-1.000,-0.848,6
0004501150620332651461525415,-1.000,-0.941,-0.941,-0.941,-0.941,-1.000,0.941,6
0044545161054500242341633556,-0.941,-0.941,-0.941,-0.941,-1.000,-1.000,-0.941,0
0066605305351064545530321466,-1.000,-0.941,-0.941,0.941,0.941,-1.000,-1.000,3
0000411241111566223552400356,-1.000,-1.000,0.848,0.848,0.941,0.848,0.941,4
0064334354003650401111345546,-1.000,-0.941,0.941,-0.941,-1.000,-0.941,0.941,2
0056002321421111214444235260,-0.941,-1.000,-1.000,0.941,-0.941,-0.941,-0.941,3
0021223045136105461015615202,-1.000,-1.000,-0.941,-0.941,-0.941,-0.941,-0.941,2
0004122614130633444455623351,0.245,0.245,0.000,0.000,-1.000,0.245,0.000,0
0046114544055301534201153540,-1.000,-0.941,0.848,-0.941,-1.000,-1.000,-0.941,2
0011466053014230214405132164,-1.000,-1.000,0.000,0.000,-0.905,-0.905,0.000,2
006256566633244002042025524,-1.000,-0.941,-1.000,0.964,-0.941,-0.941,-0.941,3
001523255462062653211650300,-1.000,0.964,-0.941,-0.941,0.964,0.905,0.964,1
000236414622250664421024664,-0.941,-0.941,-1.000,-0.941,-1.000,-0.941,-1.000,0
006360253566212555560314100,-1.000,-0.941,-0.941,-0.941,0.964,-1.000,-0.941,4
002622402223510410613541544,-0.941,-0.941,-1.000,0.964,-0.941,0.000,-0.941,3
004625420022540540632514236,-1.000,0.964,-1.000,0.905,0.905,0.905,0.905,1
004102112201543545505516412,-0.905,-1.000,-0.905,0.964,-0.905,-1.000,-0.905,3
