move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
0211126556,-0.997,-0.998,-0.998,-0.997,-0.762,-0.998,-0.998,4
03004003,-0.905,-0.905,-0.848,-0.905,-0.848,-0.905,-0.905,2
0000026334,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,0
2331311444,0.848,0.635,0.848,0.848,0.462,0.848,0.848,0
0202226666,0.000,-0.635,-0.762,0.000,-0.462,-0.462,-0.762,0
2135655,-0.635,0.000,-0.635,0.762,-0.762,0.462,-0.635,3
0161633445,-0.999,-0.999,0.245,-0.999,-0.999,0.999,-0.999,5
1043555454,-0.964,-0.941,-0.964,-0.462,-0.964,-0.462,-0.762,3
0000026365,-0.999,-0.999,-0.999,-0.999,-0.462,-0.999,-0.999,4
1001331366,-0.462,-0.762,-0.848,-0.462,0.998,-0.905,-0.762,4
002144552,-0.999,-0.999,-0.999,-0.635,-0.999,-0.999,-0.999,3
0300040454,-0.999,-0.999,-0.999,-0.999,-0.992,-0.999,-0.999,4
03001330,-0.905,-0.905,-0.848,-0.635,-0.905,-0.848,-0.762,3
11334355,0.999,0.999,1.000,0.999,0.999,0.999,1.000,2
0000026444,-0.999,-0.992,-0.999,-0.848,-0.999,-0.992,-0.999,3
33434546,0.000,0.999,0.999,0.462,1.000,0.000,-0.635,4
0014152265,0.992,0.998,0.992,0.999,0.987,0.462,0.000,3
11222533,1.000,0.999,0.999,0.999,1.000,0.999,0.999,0
0100215264,-0.762,-0.635,-0.635,-0.978,-0.245,-0.995,-0.995,4
0202212526,0.998,0.987,0.999,0.987,0.462,0.762,0.462,2
0400262232,0.998,0.999,0.000,0.998,0.462,0.462,0.462,1
0133535555,-0.762,-0.762,-0.848,-0.762,0.998,-0.762,-0.762,4
03113115,-0.999,-0.999,-0.462,-0.999,0.762,-0.999,-0.462,4
023434335,-0.462,-0.635,-0.245,-0.462,0.000,-0.635,-0.762,4
213235443,-0.999,-0.999,-0.999,-0.245,-0.999,-0.999,-0.999,3
21123363,-0.987,-0.848,-0.762,-0.941,-0.964,-0.905,-0.964,2
0000026555,-0.905,-0.905,-0.635,-0.635,-0.635,-0.905,-0.762,2
00500100,-1.000,0.462,0.000,0.762,0.462,0.462,-0.245,3
0061655663,-0.635,0.245,-0.245,0.762,-0.635,0.635,-0.635,3
1043344143,-0.462,-0.462,-0.462,0.000,0.000,0.000,-0.462,3
0100215256,-0.635,-0.245,-0.635,0.000,-0.462,0.000,-0.635,3
1123354551,-0.848,0.762,-0.762,0.635,-0.762,-0.635,-0.762,1
03143565,-1.000,-1.000,-0.245,-1.000,-1.000,-1.000,-1.000,2
2343355554,-0.848,0.245,0.635,0.762,0.462,-0.848,-0.848,3
11535336,-0.848,-0.848,-0.905,-0.848,-0.762,-0.635,-0.848,5
2111636,-0.635,0.462,0.848,0.462,-0.848,-0.905,0.462,2
0000303235,0.762,0.762,0.978,0.999,0.978,0.848,0.848,3
0202226446,0.462,-0.245,-0.999,0.462,-0.999,-0.245,-0.999,0
0066063666,0.762,0.848,0.848,0.905,0.905,0.762,-1.000,3
01262655,0.462,0.762,0.987,0.987,0.762,0.635,0.462,2
006226662,-0.762,-0.987,-0.762,0.245,-0.762,-0.635,-0.848,3
0400256626,0.635,0.978,0.987,0.987,0.762,0.762,0.635,2
0245565662,0.000,-0.245,0.635,0.462,0.245,0.635,0.462,2
3033440455,0.998,0.998,0.999,0.998,0.998,0.998,0.999,2
1143435556,-0.848,-0.848,-0.762,-0.635,0.462,-0.848,-0.848,4
1232622324,-0.999,-0.964,-0.997,-0.848,-0.997,-0.999,-0.997,3
012354455,-0.992,-0.462,-0.462,-0.905,0.462,-0.462,-0.992,4
0000026664,-0.999,-0.992,-0.999,-0.762,-0.999,-0.992,-0.999,3
0246446445,-0.848,-0.762,-0.635,-0.987,-0.848,-0.635,-0.762,2
2033633436,-0.987,-0.964,-0.848,-0.987,-0.762,-0.905,-0.941,4
003333033,0.762,0.762,0.000,-1.000,-0.762,0.635,-0.762,0
0000303262,0.000,0.462,0.762,0.978,0.978,0.848,0.000,3
11151611,-0.635,-1.000,-0.462,0.762,0.762,-0.635,-0.635,3
33135525,1.000,0.999,0.999,0.999,1.000,0.999,0.999,0
0434353353,0.462,0.762,0.848,0.762,0.762,0.245,0.245,2
21123366,-0.762,-0.462,0.245,0.462,0.000,-0.462,-0.762,3
1141131332,-0.999,-0.905,0.762,0.635,0.245,-0.848,-0.635,2
1001331333,-0.462,-0.462,-0.462,-0.462,-0.635,-0.762,-0.635,0
0000311265,0.462,0.462,-0.462,0.762,0.462,0.462,0.462,3
0111536565,-0.987,-0.987,-0.848,-0.848,-0.848,-0.848,-0.848,2
0203135336,-0.635,-0.762,-0.635,-0.848,-0.992,-0.848,-0.848,0
02545,-0.635,-0.462,-0.462,-0.462,-0.462,0.462,-0.635,5
0400255655,-0.999,-0.999,-0.999,0.992,-0.999,-0.999,-0.999,3
2343355565,-0.762,-0.762,-0.762,0.762,-0.762,-0.848,-0.905,3
03303035,0.848,0.462,0.848,1.000,0.848,0.848,0.848,3
2131145,-0.762,0.000,0.462,0.635,0.000,0.000,-0.462,3
0161633466,-0.999,-0.999,-0.848,-0.999,-0.999,-0.999,-0.999,2
00034555,-0.848,-0.762,-0.848,0.000,-0.762,-0.762,-0.848,3
0020516552,-0.635,-0.635,-0.635,0.000,-0.462,-0.635,-0.635,3
03054556,0.000,-0.635,-0.462,-0.245,0.000,-0.635,-0.245,0
0246446664,-0.462,0.000,0.000,-0.848,0.000,-0.762,-0.462,1
0300040434,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,4
0000303343,-0.762,-0.762,0.998,-0.762,0.995,0.998,-0.762,2
025255155,0.635,0.762,0.905,0.762,0.762,0.635,0.762,2
